wl,n
0.909227051,2.673485
0.910796997,2.676066
0.912366699,2.678639
0.91393634,2.681206
0.915505859,2.683766
0.917075195,2.686319
0.918644409,2.688865
0.920213501,2.691405
0.92178241,2.693938
0.923351257,2.696464
0.924919922,2.698983
0.926488403,2.701496
0.928056763,2.704002
0.929625,2.706502
0.931193054,2.708996
0.932760925,2.711483
0.934328796,2.713964
0.935896362,2.716438
0.937463867,2.718906
0.93903125,2.721368
0.94059845,2.723824
0.942165527,2.726274
0.943732422,2.728718
0.945299194,2.731156
0.946865845,2.733588
0.948432312,2.736014
0.949998657,2.738434
0.951564819,2.740848
0.953130859,2.743257
0.954696777,2.74566
0.956262512,2.748057
0.957828125,2.750448
0.959393555,2.752834
0.960958801,2.755214
0.962523926,2.757589
0.964088989,2.759959
0.965653809,2.762322
0.967218445,2.764681
0.96878302,2.767034
0.970347351,2.769382
0.971911621,2.771724
0.973475708,2.774061
0.975039551,2.776392
0.976603333,2.778719
0.978166992,2.781041
0.979730347,2.783357
0.981293762,2.785668
0.982856812,2.787974
0.9844198,2.790275
0.985982727,2.792571
0.98754541,2.794862
0.98910791,2.797148
0.990670288,2.799429
0.992232544,2.801706
0.993794556,2.803977
0.995356445,2.806243
0.996918152,2.808505
0.998479797,2.810762
1.011449524,2.829335
1.014837524,2.834137
1.018225952,2.838919
1.021614868,2.843683
1.025004272,2.848427
1.028394165,2.853153
1.031784424,2.85786
1.035175293,2.862549
1.03856665,2.86722
1.041958252,2.871872
1.045350586,2.876507
1.048743286,2.881124
1.052136475,2.885724
1.055530029,2.890307
1.058924194,2.894872
1.062318848,2.899421
1.065713867,2.903952
1.069109497,2.908467
1.072505493,2.912966
1.075901978,2.917448
1.07929895,2.921913
1.082696411,2.926363
1.08609436,2.930797
1.089492676,2.935214
1.092891602,2.939616
1.096290894,2.944002
1.099690674,2.948372
1.103091064,2.952727
1.106491821,2.957067
1.109893066,2.961391
1.113294678,2.9657
1.116697021,2.969994
1.120099609,2.974272
1.123502686,2.978536
1.126906372,2.982785
1.130310425,2.987018
1.133714966,2.991237
1.137119995,2.995441
1.140525513,2.99963
1.143931396,3.003805
1.147337891,3.007965
1.150744873,3.01211
1.154152222,3.016241
1.157560059,3.020357
1.160968506,3.024458
1.164377197,3.028545
1.167786499,3.032617
1.171196289,3.036674
1.174606567,3.040717
1.178017212,3.044745
1.181428467,3.048758
1.184840088,3.052756
1.188252197,3.056739
1.191664795,3.060707
1.195077881,3.064661
1.198491455,3.0686
1.201905518,3.072526
1.205319946,3.076437
1.208734863,3.080334
1.212150269,3.084219
1.215566162,3.08809
1.218982666,3.091948
1.222399536,3.095794
1.225816772,3.099627
1.229234619,3.103448
1.232652954,3.107258
1.236071655,3.111056
1.239490845,3.114842
1.242910522,3.118617
1.246330811,3.122381
1.249751343,3.126135
1.253172485,3.129878
1.256593994,3.133611
1.260016113,3.137335
1.263438721,3.141048
1.266861572,3.144752
1.270285156,3.148447
1.273709106,3.152132
1.277133545,3.155809
1.28055835,3.159477
1.283983765,3.163136
1.287409668,3.166788
1.290835938,3.170431
1.294262695,3.174067
1.297689941,3.177695
1.301117676,3.181315
1.304545898,3.184928
1.307974609,3.188534
1.311403687,3.192133
1.314833374,3.195726
1.318263428,3.199311
1.321694092,3.202891
1.325125122,3.206464
1.328556519,3.210031
1.331988525,3.213592
1.335421021,3.217148
1.338853882,3.220698
1.342287354,3.224242
1.345721191,3.227781
1.349155518,3.231315
1.352590454,3.234844
1.356025635,3.238368
1.359461426,3.241888
1.362897705,3.245402
1.366334351,3.248913
1.369771606,3.252419
1.373209229,3.255921
1.376647339,3.259418
1.380085938,3.262912
1.383525024,3.266402
1.3869646,3.269888
1.390404541,3.273371
1.393844971,3.27685
1.397285889,3.280326
1.400727417,3.283799
1.404169312,3.287268
1.407611694,3.290735
1.411054443,3.294198
1.414497803,3.297659
1.41794165,3.301117
1.421385864,3.304573
1.424830688,3.308025
1.428275757,3.311476
1.431721436,3.314924
1.435167725,3.31837
1.438614258,3.321814
1.442061279,3.325256
1.445508911,3.328696
1.448956909,3.332134
1.452405518,3.33557
1.45585437,3.339005
1.459303955,3.342438
1.462753784,3.34587
1.466204224,3.3493
1.469655029,3.352729
1.473106323,3.356156
1.476558228,3.359583
1.480010498,3.363008
1.483463135,3.366433
